18:23, Thursday, August 05, 2021
Study name:Static 1
Units: mm
Selected reference : N/A
Node  ,X(mm)  ,Y(mm)  ,Z(mm)  ,URES(mm)
13357  ,-192.538  ,-192.387  ,-31.6667  ,3.22978e-01
15360  ,-78.75  ,-192.5  ,0  ,3.22922e-01
15441  ,-70  ,-192.5  ,2  ,3.22902e-01
15448  ,-61.25  ,-192.5  ,4  ,3.22885e-01
13122  ,-148.784  ,-192.387  ,-19  ,3.22881e-01
9684  ,-135.546  ,-188.456  ,0  ,3.22869e-01
15373  ,-141.821  ,-190.478  ,-9.5  ,3.22858e-01
15364  ,-113.767  ,-192.387  ,-9.5  ,3.22828e-01
15824  ,-192.5  ,-183.697  ,2  ,3.22793e-01
15818  ,-183.75  ,-183.75  ,4  ,3.22786e-01
15363  ,-102.614  ,-190.478  ,0  ,3.22748e-01
13346  ,-175.036  ,-192.387  ,-28.5  ,3.22736e-01
12309  ,-166.23  ,-188.456  ,-9.5  ,3.22735e-01
13109  ,-181.78  ,-190.422  ,-22.1667  ,3.22725e-01
15428  ,-93.8639  ,-190.478  ,2  ,3.22723e-01
13120  ,-137.79  ,-190.422  ,-9.5  ,3.22707e-01
13356  ,-183.787  ,-192.387  ,-31.6667  ,3.22702e-01
13351  ,-190.531  ,-190.422  ,-25.3333  ,3.22677e-01
9093  ,-70  ,-192.5  ,0  ,3.22659e-01
15440  ,-61.25  ,-192.5  ,2  ,3.22639e-01
13108  ,-168.316  ,-190.422  ,-19  ,3.22632e-01
9079  ,-52.5  ,-192.5  ,4  ,3.22620e-01
9479  ,-140.034  ,-192.387  ,-19  ,3.22605e-01
12328  ,-126.717  ,-188.456  ,0  ,3.22596e-01
15365  ,-105.017  ,-192.387  ,-9.5  ,3.22557e-01
15830  ,-192.5  ,-183.641  ,0  ,3.22533e-01
15356  ,-93.8639  ,-190.478  ,0  ,3.22480e-01
13340  ,-166.286  ,-192.387  ,-28.5  ,3.22459e-01
12314  ,-157.4  ,-188.456  ,-9.5  ,3.22458e-01
15429  ,-85.0343  ,-190.478  ,2  ,3.22456e-01
11374  ,-188.524  ,-188.456  ,-19  ,3.22404e-01
15354  ,-61.25  ,-192.5  ,0  ,3.22396e-01
9439  ,-192.538  ,-192.387  ,-38  ,3.22376e-01
15447  ,-52.5  ,-192.5  ,2  ,3.22374e-01
13113  ,-159.565  ,-190.422  ,-19  ,3.22355e-01
15455  ,-43.75  ,-192.5  ,4  ,3.22355e-01
15394  ,-175  ,-183.333  ,4  ,3.22335e-01
13127  ,-131.283  ,-192.387  ,-19  ,3.22329e-01
9683  ,-117.887  ,-188.456  ,0  ,3.22322e-01
11372  ,-175.059  ,-188.456  ,-15.8333  ,3.22318e-01
15367  ,-124.095  ,-190.478  ,-9.5  ,3.22303e-01
15358  ,-96.2669  ,-192.387  ,-9.5  ,3.22288e-01
15357  ,-85.0343  ,-190.478  ,0  ,3.22213e-01
15436  ,-76.2843  ,-190.478  ,2  ,3.22192e-01
13341  ,-157.535  ,-192.387  ,-28.5  ,3.22181e-01
12315  ,-148.424  ,-188.456  ,-9.5  ,3.22175e-01
13125  ,-120.21  ,-190.422  ,-9.5  ,3.22157e-01
9094  ,-52.5  ,-192.5  ,0  ,3.22131e-01
15446  ,-43.75  ,-192.5  ,2  ,3.22109e-01
13350  ,-183.787  ,-192.387  ,-38  ,3.22098e-01
9078  ,-35  ,-192.5  ,4  ,3.22089e-01
13114  ,-150.589  ,-190.422  ,-19  ,3.22071e-01
15395  ,-166.25  ,-183.333  ,4  ,3.22062e-01
9478  ,-122.533  ,-192.387  ,-19  ,3.22054e-01
12332  ,-109.057  ,-188.456  ,0  ,3.22049e-01
13352  ,-190.531  ,-190.422  ,-31.6667  ,3.22049e-01
15359  ,-87.5163  ,-192.387  ,-9.5  ,3.22020e-01
15349  ,-76.2843  ,-190.478  ,0  ,3.21948e-01
13334  ,-148.784  ,-192.387  ,-28.5  ,3.21902e-01
12319  ,-139.594  ,-188.456  ,-9.5  ,3.21897e-01
15815  ,-190.512  ,-181.728  ,2  ,3.21876e-01
15344  ,-43.75  ,-192.5  ,0  ,3.21865e-01
15454  ,-35  ,-192.5  ,2  ,3.21842e-01
9440  ,-175.036  ,-192.387  ,-38  ,3.21820e-01
15462  ,-26.25  ,-192.5  ,4  ,3.21817e-01
15554  ,-192.538  ,-183.641  ,-6.33333  ,3.21805e-01
13112  ,-172.804  ,-190.422  ,-28.5  ,3.21799e-01
13118  ,-141.838  ,-190.422  ,-19  ,3.21793e-01
15400  ,-157.5  ,-183.333  ,4  ,3.21788e-01
13131  ,-113.782  ,-192.387  ,-19  ,3.21778e-01
9682  ,-100.228  ,-188.456  ,0  ,3.21777e-01
13343  ,-181.78  ,-190.422  ,-31.6667  ,3.21772e-01
15351  ,-78.7665  ,-192.387  ,-9.5  ,3.21754e-01
15361  ,-106.369  ,-190.478  ,-9.5  ,3.21750e-01
9901  ,-188.524  ,-188.456  ,-25.3333  ,3.21750e-01
15435  ,-60.2843  ,-190.478  ,2  ,3.21711e-01
11370  ,-175.059  ,-188.456  ,-22.1667  ,3.21649e-01
13335  ,-140.034  ,-192.387  ,-28.5  ,3.21622e-01
15551  ,-190.512  ,-181.675  ,0  ,3.21617e-01
12320  ,-130.618  ,-188.456  ,-9.5  ,3.21613e-01
13129  ,-102.63  ,-190.422  ,-9.5  ,3.21609e-01
9095  ,-35  ,-192.5  ,0  ,3.21598e-01
15453  ,-26.25  ,-192.5  ,2  ,3.21571e-01
9987  ,-161.595  ,-188.456  ,-19  ,3.21554e-01
9077  ,-17.5  ,-192.5  ,4  ,3.21542e-01
13347  ,-166.286  ,-192.387  ,-38  ,3.21540e-01
15407  ,-148.75  ,-183.333  ,4  ,3.21514e-01
15391  ,-181.762  ,-181.502  ,2  ,3.21508e-01
13119  ,-132.862  ,-190.422  ,-19  ,3.21508e-01
12334  ,-91.3982  ,-188.456  ,0  ,3.21506e-01
9477  ,-105.031  ,-192.387  ,-19  ,3.21504e-01
15352  ,-70.0159  ,-192.387  ,-9.5  ,3.21489e-01
15348  ,-60.2843  ,-190.478  ,0  ,3.21467e-01
15443  ,-51.5343  ,-190.478  ,2  ,3.21446e-01
13348  ,-190.531  ,-190.422  ,-38  ,3.21445e-01
13337  ,-159.565  ,-190.422  ,-28.5  ,3.21377e-01
13328  ,-131.283  ,-192.387  ,-28.5  ,3.21343e-01
13135  ,-93.8789  ,-190.422  ,-9.5  ,3.21339e-01
12324  ,-121.789  ,-188.456  ,-9.5  ,3.21335e-01
15340  ,-26.25  ,-192.5  ,0  ,3.21326e-01
15461  ,-17.5  ,-192.5  ,2  ,3.21295e-01
11247  ,-152.619  ,-188.456  ,-19  ,3.21268e-01
15469  ,-8.75  ,-192.5  ,4  ,3.21263e-01
9441  ,-157.535  ,-192.387  ,-38  ,3.21259e-01
9681  ,-82.5686  ,-188.456  ,0  ,3.21239e-01
13116  ,-155.077  ,-190.422  ,-28.5  ,3.21233e-01
13137  ,-96.2806  ,-192.387  ,-19  ,3.21231e-01
13123  ,-124.111  ,-190.422  ,-19  ,3.21230e-01
15342  ,-61.2661  ,-192.387  ,-9.5  ,3.21225e-01
